id,class,min_x,min_y,max_x,max_y,counter
1,Smoke,539,0,948,109,6
1,Smoke,542,0,949,116,12
1,Smoke,542,0,952,111,18
1,Smoke,541,0,951,111,24
1,Smoke,537,0,951,116,25
1,Smoke,537,0,951,116,26
1,Smoke,536,0,951,116,27
1,Smoke,539,0,951,116,28
1,Smoke,538,0,951,116,29
1,Smoke,546,0,951,107,30
1,Smoke,539,0,952,115,31
1,Smoke,539,0,951,116,32
1,Smoke,539,0,951,114,33
1,Smoke,537,0,951,114,34
1,Smoke,538,0,951,115,35
1,Smoke,538,0,949,115,36
1,Smoke,538,0,951,114,37
1,Smoke,537,0,951,114,38
1,Smoke,538,0,948,111,39
1,Smoke,532,0,951,116,40
1,Smoke,533,0,951,116,41
1,Smoke,542,0,951,115,42
1,Smoke,540,0,951,115,43
1,Smoke,540,0,951,115,44
1,Smoke,535,0,951,115,45
1,Smoke,537,0,951,115,46
1,Smoke,537,0,951,115,47
1,Smoke,542,0,948,114,48
1,Smoke,539,0,951,115,49
1,Smoke,538,0,951,115,50
1,Smoke,535,0,951,115,51
1,Smoke,532,0,951,115,52
1,Smoke,534,0,951,115,53
1,Smoke,543,0,949,112,54
1,Smoke,540,0,949,113,55
1,Smoke,540,0,949,113,56
1,Smoke,536,0,948,108,57
1,Smoke,536,0,948,111,58
1,Smoke,536,0,949,108,59
1,Smoke,547,0,950,115,60
1,Smoke,542,0,948,107,61
1,Smoke,540,0,948,111,62
1,Smoke,538,0,949,108,63
1,Smoke,538,0,949,111,64
1,Smoke,539,0,948,108,65
1,Smoke,538,0,951,112,66
1,Smoke,540,0,948,108,67
1,Smoke,540,0,948,111,68
1,Smoke,536,0,947,115,69
1,Smoke,535,0,947,122,70
1,Smoke,537,0,948,111,71
1,Smoke,535,0,951,116,72
1,Smoke,539,0,949,116,73
1,Smoke,539,0,949,116,74
1,Smoke,538,0,949,111,75
1,Smoke,539,0,948,111,76
1,Smoke,539,0,948,111,77
