id,class,min_x,min_y,max_x,max_y,counter
0,Fire,0,186,42,462,32
0,Fire,0,190,52,463,33
0,Fire,0,166,58,466,34
0,Fire,0,59,90,459,35
0,Fire,0,163,86,479,36
0,Fire,0,59,85,153,36
0,Fire,0,162,98,479,37
0,Fire,0,64,92,151,37
0,Fire,0,161,105,479,38
1,Smoke,0,64,115,136,38
0,Fire,0,159,121,479,39
1,Smoke,0,67,122,139,39
0,Fire,0,158,136,479,40
1,Smoke,0,69,138,124,40
0,Fire,0,158,159,479,41
0,Fire,0,78,174,479,42
0,Fire,0,83,184,479,43
0,Fire,0,305,106,479,44
1,Smoke,0,88,183,369,44
0,Fire,0,184,203,479,45
0,Fire,0,81,212,479,46
0,Fire,0,78,222,479,47
0,Fire,0,76,237,479,48
0,Fire,0,377,225,479,49
1,Smoke,61,74,255,372,49
0,Fire,130,386,245,479,50
0,Fire,0,377,106,479,50
1,Smoke,61,72,264,368,50
0,Fire,131,390,263,479,51
0,Fire,0,377,106,479,51
1,Smoke,62,82,279,368,51
0,Fire,132,387,279,479,52
0,Fire,0,377,105,479,52
1,Smoke,62,115,278,366,52
0,Fire,132,390,297,479,53
0,Fire,0,378,105,479,53
1,Smoke,62,115,181,365,53
0,Fire,132,391,247,479,54
0,Fire,0,378,105,479,54
1,Smoke,62,115,182,366,54
0,Fire,198,375,354,479,55
1,Smoke,198,77,341,365,55
0,Fire,184,71,401,479,58
0,Fire,185,394,321,479,59
1,Smoke,209,71,395,354,59
0,Fire,186,394,304,479,60
1,Smoke,209,71,399,384,60
0,Fire,185,394,345,479,61
1,Smoke,208,99,419,390,61
0,Fire,185,394,372,479,62
1,Smoke,208,139,302,323,62
0,Fire,269,406,455,479,63
1,Smoke,209,140,302,322,63
0,Fire,265,406,459,479,64
1,Smoke,209,140,302,321,64
0,Fire,295,415,509,479,74
0,Fire,508,152,597,257,74
1,Smoke,356,109,473,384,74
0,Fire,436,414,535,479,75
1,Smoke,509,154,575,250,77
1,Smoke,508,153,639,255,78
1,Smoke,508,153,639,257,79
1,Smoke,507,152,596,258,81
0,Fire,438,270,639,479,82
1,Smoke,507,151,597,258,82
0,Fire,485,270,639,479,83
1,Smoke,507,152,597,257,83
0,Fire,485,270,639,479,84
1,Smoke,507,152,597,257,84
0,Fire,485,270,639,479,85
1,Smoke,507,152,597,257,85
0,Fire,485,270,639,479,86
1,Smoke,507,152,597,257,86
0,Fire,485,270,639,479,87
1,Smoke,507,152,597,257,87
0,Fire,485,270,639,479,88
1,Smoke,507,152,597,257,88
0,Fire,485,270,639,479,89
1,Smoke,507,152,597,257,89
0,Fire,485,270,639,479,90
1,Smoke,507,152,597,257,90
